# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       6.84
2                       6.82
4                       6.85
8                       6.81
16                      6.85
32                      6.85
64                      6.80
128                     7.49
256                     9.19
512                     9.55
1024                   10.02
2048                   10.30
4096                   10.71
8192                   12.10
16384                  14.90
32768                  23.68
65536                  31.26
131072                 48.53
262144                 82.12
524288                147.42
1048576               173.85
