# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       1.40
2                       1.40
4                       1.35
8                       1.35
16                      1.33
32                      1.32
64                      1.32
128                     1.33
256                     1.33
512                     1.35
1024                    1.41
2048                    1.47
4096                    1.62
8192                    4.18
16384                   5.18
32768                   7.19
65536                  12.04
131072                 20.71
262144                 34.68
524288                 56.12
1048576               102.73
