# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.28
2                       2.70
4                       5.37
8                      10.81
16                     21.61
32                     43.18
64                     86.63
128                   172.67
256                   308.93
512                   647.86
1024                 1294.58
2048                 2572.21
4096                 5075.62
8192                10220.15
16384               19278.14
32768               20842.48
65536               22180.99
131072              23182.33
262144              23630.32
524288              23843.55
1048576             23945.14
2097152             23966.70
4194304             23964.79
