# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       2.45
2                       4.99
4                      10.10
8                      20.22
16                     40.43
32                     79.97
64                    160.27
128                   316.05
256                   616.01
512                  1193.33
1024                 2310.71
2048                 4158.57
4096                 7114.03
8192                 4495.62
16384                6920.27
32768                9608.92
65536               11731.41
131072              13174.30
262144              13841.77
524288              14728.08
1048576             15984.33
2097152             16609.08
4194304             16180.44
