# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.41
1                       2.39
2                       2.40
4                       2.40
8                       2.43
16                      2.42
32                      2.40
64                      2.42
128                     2.95
256                     3.21
512                     3.19
1024                    3.19
2048                    3.37
4096                    3.62
8192                    3.89
16384                   4.36
32768                   6.80
65536                   8.19
131072                 10.93
262144                 16.40
524288                 27.26
1048576                48.92
2097152                92.46
4194304               179.46
