# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.90
1                       0.91
2                       0.91
4                       0.90
8                       0.90
16                      0.90
32                      0.91
64                      0.91
128                     0.92
256                     0.94
512                     1.04
1024                    1.03
2048                    1.09
4096                    1.21
8192                    2.68
16384                   3.26
32768                   4.62
65536                   6.79
131072                 11.59
262144                 20.36
524288                 38.91
1048576                71.00
2097152               132.05
4194304               263.29
