# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                      92.21
2                      92.42
4                      94.12
8                      95.48
16                     97.79
32                     98.01
64                     98.01
128                    98.05
256                    98.05
512                   110.04
1024                  196.04
2048                  258.70
4096                  565.23
8192                  466.76
16384                 713.04
32768                 871.39
65536                1443.35
131072               3150.27
262144               5622.42
524288              11141.02
1048576             22082.87
