# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       1.18
2                       1.18
4                       1.18
8                       1.18
16                      1.18
32                      1.18
64                      1.19
128                     1.20
256                     1.22
512                     1.25
1024                    1.34
2048                    1.44
4096                    1.64
8192                    1.91
16384                   3.74
32768                   5.20
65536                   8.60
131072                 17.66
262144                 31.72
524288                 58.21
1048576               113.39
