# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.22
2                       0.42
4                       0.84
8                       1.64
16                      3.25
32                      6.50
64                     11.90
128                    21.30
256                    39.29
512                    59.31
1024                   77.00
2048                   96.82
4096                  106.48
8192                  114.26
16384                 116.25
32768                 117.54
65536                 117.96
131072                117.86
262144                118.26
524288                118.49
1048576               118.56
2097152               118.61
4194304               118.62
