# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.83
2                       3.66
4                       7.32
8                      14.65
16                     29.29
32                     58.45
64                    116.18
128                   230.47
256                   449.77
512                   859.29
1024                 1726.15
2048                 3288.27
4096                 5906.92
8192                10106.47
16384               11308.24
32768               15383.31
65536               19524.45
131072              22430.83
262144              24071.82
524288              24792.70
1048576             25585.26
2097152             26266.85
4194304             25916.18
