# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                      43.06
1                      43.45
2                      42.95
4                      43.48
8                      42.72
16                     44.53
32                     49.00
64                     49.01
128                    49.01
256                    49.01
512                    55.03
1024                   98.02
2048                  126.10
4096                  208.25
8192                  219.64
16384                 303.53
32768                 447.73
65536                 747.47
131072               1589.95
262144               2560.83
524288               4789.29
1048576              9223.59
2097152             18060.33
4194304             35920.10
