# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.62
1                       0.64
2                       0.64
4                       0.64
8                       0.64
16                      0.64
32                      0.64
64                      0.64
128                     0.65
256                     0.66
512                     0.69
1024                    0.75
2048                    0.85
4096                    0.95
8192                    1.11
16384                   2.49
32768                   3.13
65536                   4.32
131072                  8.04
262144                 18.40
524288                 27.62
1048576                49.36
2097152                94.69
4194304               180.94
