# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       6.86
2                       6.84
4                       6.85
8                       6.83
16                      6.78
32                      6.91
64                      6.85
128                     7.48
256                     9.17
512                     9.47
1024                    9.91
2048                   10.16
4096                   10.48
8192                   12.13
16384                  14.29
32768                  23.45
65536                  31.85
131072                 52.68
262144                 91.69
524288                163.92
1048576               171.10
