# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       2.36
2                       2.29
4                       2.21
8                       2.20
16                      2.21
32                      2.23
64                      2.25
128                     2.30
256                     2.33
512                     2.47
1024                    2.60
2048                    2.87
4096                    3.21
8192                    9.23
16384                  11.77
32768                  19.92
65536                  34.62
131072                 63.80
262144                103.42
524288                169.76
1048576               295.84
