# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.23
2                       2.47
4                       4.92
8                       9.71
16                     20.09
32                     40.45
64                     80.74
128                   160.74
256                   297.70
512                   573.31
1024                 1201.69
2048                 2453.04
4096                 4839.02
8192                 9405.70
16384               18804.65
32768               20618.92
65536               22282.74
131072              23044.10
262144              23521.30
524288              23774.63
1048576             23878.29
2097152             23934.36
4194304             23968.95
