# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       2.16
2                       4.43
4                       8.87
8                      17.77
16                     35.52
32                     70.69
64                    140.77
128                   278.55
256                   532.36
512                  1062.63
1024                 2040.39
2048                 3756.39
4096                 6481.54
8192                 4423.40
16384                6781.30
32768                9524.22
65536               11349.07
131072              12303.83
262144              13700.51
524288              14346.97
1048576             15110.20
2097152             16156.58
4194304             16402.23
