# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.67
1                       2.56
2                       2.47
4                       2.47
8                       2.48
16                      2.47
32                      2.46
64                      2.46
128                     3.01
256                     3.26
512                     3.25
1024                    3.27
2048                    3.41
4096                    3.66
8192                    3.92
16384                   4.34
32768                   6.87
65536                   8.28
131072                 10.97
262144                 16.37
524288                 27.28
1048576                49.04
2097152                92.50
4194304               179.56
