# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       1.03
1                       1.00
2                       0.96
4                       0.95
8                       0.97
16                      0.95
32                      0.97
64                      0.99
128                     0.98
256                     1.00
512                     1.02
1024                    1.09
2048                    1.15
4096                    1.23
8192                    2.73
16384                   3.36
32768                   4.69
65536                   7.13
131072                 11.81
262144                 23.40
524288                 39.08
1048576                72.30
2097152               132.24
4194304               262.75
