# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       6.83
2                       6.81
4                       6.79
8                       6.78
16                      6.78
32                      6.83
64                      6.79
128                     7.47
256                     8.95
512                     9.33
1024                    9.96
2048                   10.34
4096                   10.69
8192                   12.01
16384                  14.26
32768                  23.36
65536                  31.33
131072                 51.86
262144                 88.83
524288                160.44
1048576               162.17
