# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       2.19
2                       2.20
4                       2.22
8                       2.20
16                      2.19
32                      2.21
64                      2.23
128                     2.25
256                     2.29
512                     2.38
1024                    2.51
2048                    2.80
4096                    3.19
8192                    9.19
16384                  12.17
32768                  19.45
65536                  32.30
131072                 60.06
262144                101.22
524288                163.37
1048576               302.34
