# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.23
2                       2.55
4                       5.09
8                      10.51
16                     21.04
32                     42.10
64                     84.21
128                   167.88
256                   300.36
512                   613.61
1024                 1230.92
2048                 2440.01
4096                 4819.22
8192                 9777.83
16384               18927.31
32768               20589.37
65536               22254.63
131072              23039.62
262144              23530.12
524288              23769.93
1048576             23879.02
2097152             23934.13
4194304             23971.41
