# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       2.21
2                       4.44
4                       9.08
8                      17.78
16                     36.20
32                     72.18
64                    143.03
128                   287.22
256                   552.68
512                  1085.01
1024                 2115.81
2048                 3884.49
4096                 6880.27
8192                 4308.65
16384                6749.66
32768                9430.55
65536               11561.90
131072              13396.46
262144              13677.00
524288              14717.22
1048576             15554.19
2097152             16380.65
4194304             16171.07
