# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.74
1                       2.76
2                       2.75
4                       2.79
8                       2.79
16                      2.74
32                      2.76
64                      2.78
128                     3.29
256                     3.61
512                     3.64
1024                    3.65
2048                    3.73
4096                    3.89
8192                    4.25
16384                   4.86
32768                   8.10
65536                   9.55
131072                 12.29
262144                 25.54
524288                 28.59
1048576                50.26
2097152                93.71
4194304               180.66
