# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       1.02
1                       1.00
2                       0.96
4                       0.95
8                       0.95
16                      0.95
32                      0.96
64                      0.98
128                     1.00
256                     1.01
512                     1.07
1024                    1.10
2048                    1.16
4096                    1.23
8192                    2.78
16384                   3.42
32768                   4.63
65536                   6.93
131072                 11.56
262144                 20.39
524288                 37.82
1048576                68.16
2097152               130.36
4194304               260.64
