# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       6.81
2                       6.79
4                       6.82
8                       6.78
16                      6.80
32                      6.79
64                      6.80
128                     7.43
256                     9.11
512                     9.37
1024                    9.88
2048                   10.16
4096                   10.49
8192                   12.36
16384                  14.35
32768                  23.34
65536                  31.71
131072                 48.88
262144                 81.58
524288                143.42
1048576               160.68
