# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       1.31
2                       1.34
4                       1.33
8                       1.31
16                      1.32
32                      1.33
64                      1.33
128                     1.33
256                     1.34
512                     1.37
1024                    1.40
2048                    1.50
4096                    1.63
8192                    4.30
16384                   5.18
32768                   6.91
65536                  11.48
131072                 21.04
262144                 38.52
524288                 56.68
1048576                99.88
