# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.24
2                       2.62
4                       5.22
8                      10.37
16                     20.90
32                     41.84
64                     84.05
128                   168.58
256                   312.70
512                   654.38
1024                 1306.92
2048                 2618.29
4096                 5154.44
8192                10225.77
16384               19129.91
32768               20645.54
65536               22029.76
131072              23043.79
262144              23533.79
524288              23789.01
1048576             23892.97
2097152             23950.71
4194304             23981.64
