# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       2.38
2                       4.78
4                       9.80
8                      19.59
16                     38.90
32                     75.18
64                    153.61
128                   303.69
256                   587.18
512                  1106.97
1024                 2188.06
2048                 4030.02
4096                 6978.31
8192                 4607.74
16384                7211.01
32768               10133.27
65536               12472.64
131072              14425.32
262144              14851.48
524288              15531.32
1048576             16311.23
2097152             16699.83
4194304             16944.86
