# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.94
1                       0.93
2                       0.93
4                       0.91
8                       0.91
16                      0.91
32                      0.93
64                      0.94
128                     0.95
256                     0.98
512                     1.00
1024                    1.04
2048                    1.10
4096                    1.20
8192                    2.82
16384                   3.43
32768                   4.68
65536                   6.66
131072                 11.18
262144                 20.79
524288                 39.58
1048576                71.18
2097152               133.59
4194304               261.65
