# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       0.81
2                       0.80
4                       0.80
8                       0.79
16                      0.77
32                      0.80
64                      0.78
128                     0.81
256                     0.85
512                     0.89
1024                    0.91
2048                    1.11
4096                    1.36
8192                    1.86
16384                   2.71
32768                   4.38
65536                   8.18
131072                 15.40
262144                 28.36
524288                 62.53
1048576               136.67
