# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.15
2                       0.30
4                       0.60
8                       1.20
16                      2.38
32                      4.62
64                      8.81
128                    16.93
256                    19.70
512                    38.40
1024                   52.41
2048                  110.93
4096                  217.19
8192                  416.61
16384                 731.37
32768                1245.51
65536                1809.23
131072               2615.63
262144               3089.58
524288               3629.43
1048576              4063.92
2097152              4198.40
4194304              4163.47
