# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       2.51
2                       4.75
4                       9.53
8                      19.21
16                     39.43
32                     76.33
64                    153.41
128                   318.74
256                   592.36
512                  1111.88
1024                 2289.89
2048                 3887.12
4096                 6329.22
8192                10507.06
16384               16108.09
32768               20177.61
65536               13359.12
131072              14899.79
262144              16668.34
524288              17533.16
1048576             18030.82
2097152             18174.78
4194304             18368.83
