# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.62
1                       0.62
2                       0.62
4                       0.62
8                       0.62
16                      0.62
32                      0.62
64                      0.62
128                     0.62
256                     0.64
512                     0.69
1024                    0.74
2048                    0.82
4096                    0.93
8192                    1.10
16384                   2.39
32768                   3.00
65536                   4.31
131072                  8.33
262144                 15.66
524288                 27.00
1048576                49.03
2097152                92.87
4194304               180.03
