# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       2.42
2                       2.28
4                       2.24
8                       2.25
16                      2.25
32                      2.28
64                      2.35
128                     2.36
256                     2.36
512                     2.48
1024                    2.53
2048                    2.84
4096                    3.28
8192                    9.32
16384                  11.91
32768                  20.05
65536                  33.94
131072                 59.06
262144                 96.35
524288                168.26
1048576               305.69
