# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       6.80
2                       6.85
4                       6.81
8                       6.80
16                      6.77
32                      6.79
64                      6.79
128                     7.43
256                     9.01
512                     9.39
1024                    9.94
2048                   10.31
4096                   10.70
8192                   12.10
16384                  14.35
32768                  23.32
65536                  32.04
131072                 49.60
262144                 80.93
524288                143.55
1048576               158.18
