# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       2.31
2                       2.20
4                       2.19
8                       2.18
16                      2.17
32                      2.19
64                      2.22
128                     2.23
256                     2.33
512                     2.38
1024                    2.53
2048                    2.78
4096                    3.17
8192                    9.22
16384                  11.59
32768                  19.86
65536                  33.82
131072                 62.41
262144                 95.08
524288                155.84
1048576               301.67
