# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.26
2                       2.50
4                       5.04
8                      10.07
16                     20.14
32                     40.24
64                     82.84
128                   165.28
256                   306.03
512                   610.68
1024                 1219.05
2048                 2410.83
4096                 4643.25
8192                 9389.92
16384               18745.70
32768               20516.52
65536               22253.25
131072              23018.78
262144              23532.24
524288              23774.21
1048576             23883.71
2097152             23926.96
4194304             23950.33
