# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       2.23
2                       4.58
4                       9.25
8                      18.47
16                     36.54
32                     73.66
64                    146.30
128                   289.80
256                   554.13
512                  1083.62
1024                 2125.12
2048                 3889.41
4096                 6726.09
8192                 4410.57
16384                6835.97
32768                9516.11
65536               11646.88
131072              13232.19
262144              13552.48
524288              14575.30
1048576             15708.16
2097152             16296.18
4194304             16178.62
