# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.70
1                       2.78
2                       2.73
4                       2.72
8                       2.71
16                      2.79
32                      2.75
64                      2.80
128                     3.35
256                     3.59
512                     3.63
1024                    3.59
2048                    3.73
4096                    3.96
8192                    4.31
16384                   5.07
32768                   8.07
65536                   9.50
131072                 12.26
262144                 17.83
524288                 29.92
1048576                50.53
2097152                93.86
4194304               180.88
