# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.96
1                       0.94
2                       0.94
4                       0.94
8                       0.95
16                      0.97
32                      0.95
64                      0.96
128                     0.96
256                     0.99
512                     1.02
1024                    1.08
2048                    1.16
4096                    1.22
8192                    2.95
16384                   3.52
32768                   4.54
65536                   6.85
131072                 11.85
262144                 21.86
524288                 38.94
1048576                68.72
2097152               129.80
4194304               258.63
